7z.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
cut.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
cutlines.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
date.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
dbbench.exe:                 PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
dd.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ddns-go.exe:                 PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
deprun.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
df.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
dir.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
dircolors.exe:               PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
dirname.exe:                 PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
du.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
dua.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
dufs.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
dust.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
echo.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
eget.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ein.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
env.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
err.exe:                     7-zip archive data, version 0.4
expand.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
expr.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
factor.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
false.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
fastfetch.exe:               PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ffmpeg.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ffplay.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ffprobe.exe:                 PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
find-rs.exe:                 PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
find.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
flashfetch.exe:              PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
fmt.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
fold.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
gdu.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
geodns.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
geoping.exe:                 PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
gix.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
hashsum.exe:                 PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
hcloud.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
head.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
hostname.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
hyperfine.exe:               PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
inscope.exe:                 PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
iperf3.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
join.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
jq.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
jwt-cracker.exe:             PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
legba.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
link.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ln.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
localxpose.exe:              PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
loclx.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
logstation.exe:              PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ls.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
micro.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
miniooni-windows-amd64.exe:  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
miniooni.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
miniserve.exe:               PE32+ executable (console) x86-64, for MS Windows
mkdir.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
mktemp.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
monolith.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
more.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
mv.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ngrok.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
nl.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
nproc.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
numfmt.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
od.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ooniprobe-windows-amd64.exe: PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ooniprobe.exe:               PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pandoc.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
paste.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pdfcpu.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pdfdetach.exe:               PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pdffonts.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pdfimages.exe:               PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pdfinfo.exe:                 PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pdftopng.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pdftoppm.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pdftops.exe:                 PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pdftotext.exe:               PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pgrok.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pgrokd.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
picocrypt-gui.exe:           PE32+ executable (GUI) x86-64 (stripped to external PDB), for MS Windows
pingmole.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pingtunnel.exe:              PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pr.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
printenv.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
printf.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ptx.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
pwd.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
quotes-escaper.exe:          PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
readlink.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
realpath.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
rg.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
rm.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
rmdir.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
scp.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
seq.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
sftp-server.exe:             PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
shell2http.exe:              PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
shred.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
shuf.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
sing-box.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
sish.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
sleep.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
smartdns-rs.exe:             PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
smartdns.exe:                PE32+ executable (console) x86-64, for MS Windows
sort.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
split.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ssh-add.exe:                 PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ssh-agent.exe:               PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ssh-keygen.exe:              PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ssh-keyscan.exe:             PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ssh-pkcs11-helper.exe:       PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ssh-shellhost.exe:           PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ssh-sk-helper.exe:           PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
ssh.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
sshd.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
stP1kAlM:                    empty
step.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
stiG2Kb7:                    empty
stunner.exe:                 PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
sum.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
sync.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
tac.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
taierspeed-cli.exe:          PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
tail.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
tee.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
test.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
touch.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
tr.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
true.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
truncate.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
trurl.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
tsort.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
tssh.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
tusd.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
uname.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
unexpand.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
uniq.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
unlink.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
upx.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
vdir.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
wc.exe:                      PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
wget2.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
whoami.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
wldd.exe:                    PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
xargs-rs.exe:                PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
xargs.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
yes.exe:                     PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
yq.exe:                      PE32+ executable (console) x86-64, for MS Windows
yt-dlp.exe:                  PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
zfind.exe:                   PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows
